Dataset Identifier	Title	Repos	Species	Instrument	Publication	LabHead	Announce Date	Keywords
PXD027309	neo-peptides identification in ewing sarcoma cell lines using proteomics approach	PRIDE	homo sapiens 	Orbitrap Exploris 480	Dataset with its publication pending	Damarys Loew	2022-05-12	ewing sarcoma, neo-peptides, cell lines, proteomics, 
PXD031569	gpr56 (adgrg1) and transglutaminase (tg2) interaction in regulation of mesenchymal transition in glioblastoma.	PRIDE	homo sapiens 	Orbitrap Fusion Lumos	Dataset with its publication pending	Dr. Ravi Sirdeshmukh	2022-05-04	gpr56, adgrg1, tg2, gbm, mesenchymal, 
PXD025179	interactome of the circadian clock protein period2 in human u2os osteosarcoma cells after the resetting of the circadian clock	PRIDE	homo sapiens 	Q Exactive HF	PROT.26314	Nuri Ozturk	2022-04-22	period2, circadian clock, bioid, protein−protein interactions, proteomics, 
PXD020715	mitochondrial proteome of human leuekmia.	jPOST	homo sapiens 	Q Exactive	34132194	Kelsey Fisher-Wellman	2022-04-21	acute leukemia, mitochondria, pbmc, 
PXD025645	vincristine resistance reshapes sphingolipid composition and promotes mitochondrial complex i deficiency in acute myelogenous leukemia    	jPOST	homo sapiens 	Q Exactive	34888943	Kelsey Fisher-Wellman	2022-04-21	vincristine, drug resistance, aml, mitochondria, sphingolipids, 
PXD031914	mass spectrum analysis to identify the interacting proteins with cdk2 induced by hht treatment.	PRIDE	homo sapiens 	6340 Ion Trap LC/MS	Dataset with its publication pending	Wendong Huang	2022-04-17	cancer (b/d-hpp), biology/disease-driven human proteome project (b/d-hpp), human proteome project, cdk2,hht,aml, 
PXD025781	lsd1-directed therapy affects glioblastoma tumorigenicity by deregulating the protective atf4-dependent integrated stress response	PRIDE	mus musculus , homo sapiens 	Q Exactive HF; Q Exactive Plus	34878824	Tiziana Bonaldi	2022-04-14	histone post-translational modifications, lsd1, 
PXD028943	phosphoproteomics of trka and trkb signaling in sh-sy5y neuroblastoma cells	PRIDE	homo sapiens 	timsTOF Pro	Dataset with its publication pending	Boris Kholodenko	2022-04-13	cancer (b/d-hpp), biology/disease-driven human proteome project (b/d-hpp), human proteome project, phosphoproteomics, neuroblastoma., 
PXD028931	in-depth matrisome and glycoproteomic analysis of glioblastoma human brain tissue	PRIDE	homo sapiens 	Q Exactive Plus	35202840	Joseph Zaia	2022-04-13	glioblastoma, matrisome, extracellular matrix, proteomics, glycomics, glycoproteins, glycosylation, mass-spectrometry, glycosaminoglycans, proteoglycans, heparan sulfate, chondroitin sulfate, 
PXD033118	k48-ubiquitin ip-ms of jurkat leukemia cells treated with asparaginase	MassIVE	homo sapiens	LTQ Orbitrap	no publication	Alejandro Gutierrez	2022-04-12	asparaginase, leukemia, ubiquitin, 
